,Date,Open,High,Low,Close,Adj Close,Volume
0,4-Mar-22,849.10,855.65,825.16,838.29,838.29,22393287.00
1,4-Mar-22,849.10,855.65,825.16,838.29,838.29,22333200.00
2,3-Mar-22,878.77,886.44,832.60,839.29,839.29,20541200.00
3,2-Mar-22,872.13,886.48,844.27,879.89,879.89,24881100.00
4,1-Mar-22,869.68,889.88,853.78,864.37,864.37,24922300.00
5,28-Feb-22,815.01,876.86,814.71,870.43,870.43,33002300.00
6,25-Feb-22,809.23,819.50,782.40,809.87,809.87,25355900.00
7,24-Feb-22,700.39,802.48,700.00,800.77,800.77,45107400.00
8,23-Feb-22,830.43,835.30,760.56,764.04,764.04,31752300.00
9,22-Feb-22,834.13,856.73,801.10,821.53,821.53,27762700.00
10,18-Feb-22,886.00,886.87,837.61,856.98,856.98,22833900.00
11,17-Feb-22,913.26,918.50,874.10,876.35,876.35,18392800.00
12,16-Feb-22,914.05,926.43,901.21,923.39,923.39,17098100.00
13,15-Feb-22,900.00,923.00,893.38,922.43,922.43,19095400.00
14,14-Feb-22,861.57,898.88,853.15,875.76,875.76,22585500.00
15,11-Feb-22,909.63,915.96,850.70,860.00,860.00,26492700.00
16,10-Feb-22,908.37,943.81,896.70,904.55,904.55,22042300.00
17,9-Feb-22,935.00,946.27,920.00,932.00,932.00,17419800.00
18,8-Feb-22,905.53,926.29,894.80,922.00,922.00,16909700.00
19,7-Feb-22,923.79,947.77,902.71,907.34,907.34,20331500.00
20,4-Feb-22,897.22,936.50,881.17,923.32,923.32,24472600.00
21,3-Feb-22,882.00,937.00,880.52,891.14,891.14,26285200.00
22,2-Feb-22,928.18,931.50,889.41,905.66,905.66,22264300.00
23,1-Feb-22,935.21,943.70,905.00,931.25,931.25,24379400.00
24,31-Jan-22,872.71,937.99,862.05,936.72,936.72,34812000.00
25,28-Jan-22,831.56,857.50,792.01,846.35,846.35,44929700.00
26,27-Jan-22,933.36,935.39,829.00,829.10,829.10,49036500.00
27,26-Jan-22,952.43,987.69,906.00,937.41,937.41,34955800.00
28,25-Jan-22,914.20,951.26,903.21,918.40,918.40,28865300.00
29,24-Jan-22,904.76,933.51,851.47,930.00,930.00,50521900.00
30,21-Jan-22,996.34,1004.55,940.50,943.90,943.90,34472000.00
31,20-Jan-22,1009.73,1041.66,994.00,996.27,996.27,23496200.00
32,19-Jan-22,1041.71,1054.67,995.00,995.65,995.65,25147500.00
33,18-Jan-22,1026.61,1070.79,1016.06,1030.51,1030.51,22247800.00
34,14-Jan-22,1019.88,1052.00,1013.38,1049.61,1049.61,24246600.00
35,13-Jan-22,1109.07,1115.60,1026.54,1031.56,1031.56,32403300.00
36,12-Jan-22,1078.85,1114.84,1072.59,1106.22,1106.22,27913000.00
37,11-Jan-22,1053.67,1075.85,1038.82,1064.40,1064.40,22021100.00
38,10-Jan-22,1000.00,1059.10,980.00,1058.12,1058.12,30605000.00
39,7-Jan-22,1080.37,1080.93,1010.00,1026.96,1026.96,27919000.00
40,6-Jan-22,1077.00,1088.00,1020.50,1064.70,1064.70,30112200.00
41,5-Jan-22,1146.65,1170.34,1081.01,1088.12,1088.12,26706600.00
42,4-Jan-22,1189.55,1208.00,1123.05,1149.59,1149.59,33416100.00
43,3-Jan-22,1147.75,1201.07,1136.04,1199.78,1199.78,34643800.00
44,31-Dec-21,1073.44,1082.00,1054.59,1056.78,1056.78,13577900.00
45,30-Dec-21,1061.33,1095.55,1053.15,1070.34,1070.34,15680300.00
46,29-Dec-21,1098.64,1104.00,1064.14,1086.19,1086.19,18718000.00
47,28-Dec-21,1109.49,1119.00,1078.42,1088.47,1088.47,20108000.00
48,27-Dec-21,1073.67,1117.00,1070.72,1093.94,1093.94,23715300.00
49,23-Dec-21,1006.80,1072.98,997.56,1067.00,1067.00,30904400.00
50,22-Dec-21,965.66,1015.66,957.05,1008.87,1008.87,31211400.00
51,21-Dec-21,916.87,939.50,886.12,938.53,938.53,23839300.00
52,20-Dec-21,910.70,921.69,893.39,899.94,899.94,18826700.00
53,17-Dec-21,914.77,960.66,909.04,932.57,932.57,33479100.00
54,16-Dec-21,994.50,994.98,921.85,926.92,926.92,27590500.00
55,15-Dec-21,953.21,978.75,928.25,975.99,975.99,25056400.00
56,14-Dec-21,945.00,966.41,930.00,958.51,958.51,23602100.00
57,13-Dec-21,1001.09,1005.00,951.42,966.41,966.41,26198500.00
58,10-Dec-21,1008.75,1020.98,982.53,1017.03,1017.03,19855000.00
59,9-Dec-21,1060.64,1062.49,1002.36,1003.80,1003.80,19812800.00
60,8-Dec-21,1052.71,1072.38,1033.00,1068.96,1068.96,13968800.00
61,7-Dec-21,1044.20,1057.67,1026.81,1051.75,1051.75,18694900.00
62,6-Dec-21,1001.51,1021.64,950.50,1009.01,1009.01,27221000.00
63,3-Dec-21,1084.79,1090.58,1000.21,1014.97,1014.97,30696300.00
64,2-Dec-21,1099.06,1113.00,1056.65,1084.60,1084.60,24371600.00
65,1-Dec-21,1160.70,1172.84,1090.76,1095.00,1095.00,22816800.00
66,30-Nov-21,1144.37,1168.00,1118.00,1144.76,1144.76,27092000.00
67,29-Nov-21,1100.99,1142.67,1100.19,1136.99,1136.99,19464500.00
68,26-Nov-21,1099.47,1108.78,1081.00,1081.92,1081.92,11680900.00
69,24-Nov-21,1080.39,1132.77,1062.00,1116.00,1116.00,22560200.00
70,23-Nov-21,1167.51,1180.50,1062.70,1109.03,1109.03,36171700.00
71,22-Nov-21,1162.33,1201.95,1132.43,1156.87,1156.87,33072500.00
72,19-Nov-21,1098.87,1138.72,1092.70,1137.06,1137.06,21642300.00
73,18-Nov-21,1106.55,1112.00,1075.02,1096.38,1096.38,20898900.00
74,17-Nov-21,1063.51,1119.64,1055.50,1089.01,1089.01,31445400.00
75,16-Nov-21,1003.31,1057.20,1002.18,1054.73,1054.73,26542400.00
76,15-Nov-21,1017.63,1031.98,978.60,1013.39,1013.39,34775600.00
77,12-Nov-21,1047.50,1054.50,1019.20,1033.42,1033.42,25182300.00
78,11-Nov-21,1102.77,1104.97,1054.68,1063.51,1063.51,22396600.00
79,10-Nov-21,1010.41,1078.10,987.31,1067.95,1067.95,42802700.00
80,9-Nov-21,1173.60,1174.50,1011.52,1023.50,1023.50,59105800.00
81,8-Nov-21,1149.79,1197.00,1133.00,1162.94,1162.94,33445700.00
82,5-Nov-21,1228.00,1239.87,1208.00,1222.09,1222.09,21579900.00
83,4-Nov-21,1234.41,1243.49,1217.00,1229.91,1229.91,25397400.00
84,3-Nov-21,1177.33,1215.39,1152.62,1213.86,1213.86,34628500.00
85,2-Nov-21,1159.36,1208.59,1146.00,1172.00,1172.00,42737800.00
86,1-Nov-21,1145.00,1209.75,1118.66,1208.59,1208.59,56048700.00
87,29-Oct-21,1081.86,1115.21,1073.21,1114.00,1114.00,29918400.00
88,28-Oct-21,1068.31,1081.00,1054.20,1077.04,1077.04,27213200.00
89,27-Oct-21,1039.66,1070.88,1030.78,1037.86,1037.86,38526500.00
90,26-Oct-21,1024.69,1094.94,1001.44,1018.43,1018.43,62415000.00
91,25-Oct-21,950.53,1045.02,944.20,1024.86,1024.86,62852100.00
92,22-Oct-21,895.50,910.00,890.96,909.68,909.68,22880800.00
93,21-Oct-21,856.00,900.00,855.50,894.00,894.00,31481500.00
94,20-Oct-21,865.35,869.49,857.38,865.80,865.80,14032100.00
95,19-Oct-21,877.53,877.95,862.51,864.27,864.27,17381100.00
96,18-Oct-21,851.79,875.26,851.47,870.11,870.11,24207200.00
97,15-Oct-21,823.74,843.21,822.35,843.03,843.03,18818000.00
98,14-Oct-21,815.49,820.25,813.35,818.32,818.32,12247200.00
99,13-Oct-21,810.47,815.41,805.78,811.08,811.08,14120100.00
100,12-Oct-21,800.93,812.32,796.57,805.72,805.72,22020000.00
101,11-Oct-21,787.65,801.24,785.50,791.94,791.94,14200300.00
102,8-Oct-21,796.21,796.38,780.91,785.49,785.49,16711100.00
103,7-Oct-21,785.46,805.00,783.38,793.61,793.61,19195800.00
104,6-Oct-21,776.20,786.66,773.22,782.75,782.75,14632800.00
105,5-Oct-21,784.80,797.31,774.20,780.59,780.59,18432600.00
106,4-Oct-21,796.50,806.97,776.12,781.53,781.53,30483300.00
107,1-Oct-21,778.40,780.78,763.59,775.22,775.22,17031400.00
108,30-Sep-21,781.00,789.13,775.00,775.48,775.48,17956000.00
109,29-Sep-21,779.80,793.50,770.68,781.31,781.31,20942900.00
110,28-Sep-21,787.20,795.64,766.18,777.56,777.56,25381400.00
111,27-Sep-21,773.12,799.00,769.31,791.36,791.36,28070700.00
112,24-Sep-21,745.89,774.80,744.56,774.39,774.39,21373000.00
113,23-Sep-21,755.00,758.20,747.92,753.64,753.64,11947500.00
114,22-Sep-21,743.53,753.67,739.12,751.94,751.94,15126300.00
115,21-Sep-21,734.79,744.74,730.44,739.38,739.38,16330700.00
116,20-Sep-21,734.56,742.00,718.62,730.17,730.17,24757700.00
117,17-Sep-21,757.15,761.04,750.00,759.49,759.49,28204200.00
118,16-Sep-21,752.83,758.91,747.61,756.99,756.99,13923400.00
119,15-Sep-21,745.00,756.86,738.36,755.83,755.83,15357700.00
120,14-Sep-21,742.57,754.47,736.40,744.49,744.49,18524900.00
121,13-Sep-21,740.21,744.78,708.85,743.00,743.00,22952500.00
122,10-Sep-21,759.60,762.61,734.52,736.27,736.27,15114300.00
123,9-Sep-21,753.41,762.10,751.63,754.86,754.86,14077700.00
124,8-Sep-21,761.58,764.45,740.77,753.87,753.87,18793000.00
125,7-Sep-21,740.00,760.20,739.26,752.92,752.92,20039800.00
126,3-Sep-21,732.25,734.00,724.20,733.57,733.57,15246100.00
127,2-Sep-21,734.50,740.97,730.54,732.39,732.39,12777300.00
128,1-Sep-21,734.08,741.99,731.27,734.09,734.09,13204300.00
129,31-Aug-21,733.00,740.39,726.44,735.72,735.72,20855400.00
130,30-Aug-21,714.72,731.00,712.73,730.91,730.91,18604200.00
131,27-Aug-21,705.00,715.00,702.10,711.92,711.92,13762100.00
132,26-Aug-21,708.31,715.40,697.62,701.16,701.16,13214300.00
133,25-Aug-21,707.03,716.97,704.00,711.20,711.20,12645600.00
134,24-Aug-21,710.68,715.22,702.64,708.49,708.49,13083100.00
135,23-Aug-21,685.44,712.13,680.75,706.30,706.30,20264900.00
136,20-Aug-21,682.85,692.13,673.70,680.26,680.26,14781800.00
137,19-Aug-21,678.21,686.55,667.59,673.47,673.47,14313500.00
138,18-Aug-21,669.75,695.77,669.35,688.99,688.99,20349400.00
