,Date,Open,High,Low,Close,Adj Close,Volume
0,7-Mar-22,2908.87,2921.89,2748.33,2749.06,2749.06,4321094.00
1,4-Mar-22,2943.18,2957.00,2876.14,2912.82,2912.82,3046700.00
2,3-Mar-22,3070.63,3078.58,2937.12,2957.97,2957.97,3259900.00
3,2-Mar-22,3016.98,3059.99,2975.00,3041.05,3041.05,2366700.00
4,1-Mar-22,3054.65,3081.98,2999.54,3022.84,3022.84,2243700.00
5,28-Feb-22,3048.50,3089.00,3017.00,3071.26,3071.26,2878500.00
6,25-Feb-22,3011.00,3079.80,2984.27,3075.77,3075.77,3119800.00
7,24-Feb-22,2796.75,3034.98,2790.00,3027.16,3027.16,5039300.00
8,23-Feb-22,3033.01,3035.26,2893.02,2896.54,2896.54,3212200.00
9,22-Feb-22,3009.57,3059.65,2969.71,3003.95,3003.95,3306400.00
10,18-Feb-22,3109.99,3109.99,3017.86,3052.03,3052.03,3180200.00
11,17-Feb-22,3162.92,3206.98,3090.00,3093.05,3093.05,3201600.00
12,16-Feb-22,3115.81,3176.68,3094.69,3162.01,3162.01,2635200.00
13,15-Feb-22,3152.11,3160.14,3092.75,3130.21,3130.21,2822000.00
14,14-Feb-22,3035.02,3168.97,3033.00,3103.34,3103.34,4161500.00
15,11-Feb-22,3162.69,3180.00,3054.68,3065.87,3065.87,3851600.00
16,10-Feb-22,3167.00,3214.33,3155.00,3180.07,3180.07,3413400.00
17,9-Feb-22,3257.47,3276.69,3205.00,3223.79,3223.79,3439300.00
18,8-Feb-22,3135.01,3235.85,3111.01,3228.27,3228.27,3802000.00
19,7-Feb-22,3170.40,3253.82,3145.00,3158.71,3158.71,5131200.00
20,4-Feb-22,3112.13,3224.00,3012.16,3152.79,3152.79,12640500.00
21,3-Feb-22,2834.75,2884.95,2766.66,2776.91,2776.91,11276600.00
22,2-Feb-22,3101.01,3101.50,2977.27,3012.25,3012.25,4366500.00
23,1-Feb-22,3000.00,3034.16,2952.55,3023.87,3023.87,2961000.00
24,31-Jan-22,2895.00,3007.21,2886.01,2991.47,2991.47,3915400.00
25,28-Jan-22,2817.21,2879.96,2758.59,2879.56,2879.56,3719600.00
26,27-Jan-22,2816.00,2884.87,2787.00,2792.75,2792.75,3875800.00
27,26-Jan-22,2895.00,2903.70,2746.37,2777.45,2777.45,4780100.00
28,25-Jan-22,2844.85,2872.00,2762.90,2799.72,2799.72,4541200.00
29,24-Jan-22,2780.00,2898.90,2707.04,2890.88,2890.88,7781200.00
30,21-Jan-22,2999.00,3018.00,2841.41,2852.86,2852.86,8198600.00
31,20-Jan-22,3135.32,3160.00,3027.02,3033.35,3033.35,3598700.00
32,19-Jan-22,3175.24,3185.00,3125.00,3125.98,3125.98,2662100.00
33,18-Jan-22,3182.10,3194.69,3153.29,3178.35,3178.35,3364600.00
34,14-Jan-22,3203.00,3245.00,3196.01,3242.76,3242.76,2295800.00
35,13-Jan-22,3305.01,3324.43,3221.82,3224.28,3224.28,2609400.00
36,12-Jan-22,3331.50,3337.56,3288.34,3304.14,3304.14,2501500.00
37,11-Jan-22,3230.00,3327.00,3214.03,3307.24,3307.24,3140300.00
38,10-Jan-22,3211.71,3233.23,3126.09,3229.72,3229.72,4389900.00
39,7-Jan-22,3276.78,3304.87,3240.62,3251.08,3251.08,2329300.00
40,6-Jan-22,3269.01,3296.00,3238.74,3265.08,3265.08,2597900.00
41,5-Jan-22,3337.66,3342.53,3287.14,3287.14,3287.14,3215100.00
42,4-Jan-22,3408.76,3428.00,3326.99,3350.44,3350.44,3536300.00
43,3-Jan-22,3351.00,3414.07,3323.21,3408.09,3408.09,3176000.00
